2008-10-08 17:41:52,762 INFO program starts at: 17:41:52 10/08/08 Eastern Daylight Time
2008-10-08 17:41:52,762 INFO total symbols to be processed is: [510]
2008-10-08 17:48:14,874 INFO Analysis for 20081008
2008-10-08 17:48:14,874 INFO total symbols to be processed is: [510]
2008-10-08 17:48:16,124 ERROR abnormalVol wrong with DPS
2008-10-08 17:48:16,124 ERROR <type 'exceptions.ValueError'>
2008-10-08 17:48:16,124 ERROR need more than 2 values to unpack
2008-10-08 17:48:16,138 ERROR abnormalVol wrong with ^RUT
2008-10-08 17:48:16,138 ERROR <type 'exceptions.ZeroDivisionError'>
2008-10-08 17:48:16,138 ERROR float division
2008-10-08 17:48:16,138 INFO Abnormal Volume List [73]:
2008-10-08 17:48:16,404 INFO ADP: ('Services', 'Business Services')
2008-10-08 17:48:16,404 INFO AEE: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO AEP: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO AET: ('Financial', 'Insurance (Accident & Health)')
2008-10-08 17:48:16,404 INFO AIV: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,404 INFO AKS: ('Basic Materials', 'Iron & Steel')
2008-10-08 17:48:16,404 INFO ALL: ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-08 17:48:16,404 INFO AMD: ('Technology', 'Semiconductors')
2008-10-08 17:48:16,404 INFO AMP: ('Financial', 'Investment Services')
2008-10-08 17:48:16,404 INFO ANF: ('Services', 'Retail (Apparel)')
2008-10-08 17:48:16,404 INFO APC: ('Energy', 'Oil & Gas Operations')
2008-10-08 17:48:16,404 INFO AVB: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,404 INFO AVP: ('Cons. Non-Cyclical', 'Personal & Household Prods.')
2008-10-08 17:48:16,404 INFO AXP: ('Financial', 'Consumer Financial Services')
2008-10-08 17:48:16,404 INFO BA: ('Capital Goods', 'Aerospace & Defense')
2008-10-08 17:48:16,404 INFO BBY: ('Services', 'Retail (Technology)')
2008-10-08 17:48:16,404 INFO BEN: ('Financial', 'Investment Services')
2008-10-08 17:48:16,404 INFO BJS: ('Energy', 'Oil Well Services & Equipment')
2008-10-08 17:48:16,404 INFO BLL: ('Basic Materials', 'Containers & Packaging')
2008-10-08 17:48:16,404 INFO BSX: ('Healthcare', 'Medical Equipment & Supplies')
2008-10-08 17:48:16,404 INFO BXP: ('Services', 'Real Estate Operations')
2008-10-08 17:48:16,404 INFO CAG: ('Cons. Non-Cyclical', 'Food Processing')
2008-10-08 17:48:16,404 INFO CAH: ('Healthcare', 'Biotechnology & Drugs')
2008-10-08 17:48:16,404 INFO CB: ('Financial', 'Insurance (Prop. & Casualty)')
2008-10-08 17:48:16,404 INFO CBS: ('Services', 'Broadcasting & Cable TV')
2008-10-08 17:48:16,404 INFO CCE: ('Cons. Non-Cyclical', 'Beverages (Non-Alcoholic)')
2008-10-08 17:48:16,404 INFO CCL: ('Services', 'Recreational Activities')
2008-10-08 17:48:16,404 INFO CHRW: ('Transportation', 'Misc. Transportation')
2008-10-08 17:48:16,404 INFO CI: ('Financial', 'Insurance (Accident & Health)')
2008-10-08 17:48:16,404 INFO CL: ('Cons. Non-Cyclical', 'Personal & Household Prods.')
2008-10-08 17:48:16,404 INFO CMS: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO CNP: ('Utilities', 'Electric Utilities')
2008-10-08 17:48:16,404 INFO COG: ('Energy', 'Oil & Gas Operations')
2008-10-08 17:48:16,404 INFO COH: ('Cons. Cyclical', 'Apparel/Accessories')
2008-10-08 17:48:16,404 INFO COL: ('Capital Goods', 'Aerospace & Defense')
2008-10-08 17:48:16,404 INFO COST: ('Services', 'Retail (Specialty)')
2008-10-08 17:48:16,404 INFO CSC: ('Technology', 'Computer Services')
2008-10-08 17:48:16,404 INFO CSCO: ('Technology', 'Computer Peripherals')
2008-10-08 17:48:16,404 INFO CTAS: ('Services', 'Personal Services')
2008-10-08 17:48:16,404 INFO CTSH: ('Technology', 'Software & Programming')
2008-10-08 17:48:16,404 INFO CVH: ('Financial', 'Insurance (Accident & Health)')
2008-10-08 17:48:16,404 INFO CVX: ('Energy', 'Oil & Gas - Integrated')
